team,player,position,birthday,caps,club strength,attacking_value,defensive_value
Tunisia,Ellyes Skhiri,MF,5/10/95,63,78,63,82
Tunisia,Hannibal Mejbri,MF,1/21/03,32,76,75,66
Tunisia,Montassar Talbi,DF,5/26/98,45,76,40,80
Tunisia,Youssef Msakni,FW,10/28/90,100,72,78,44
Algeria,Riyad Mahrez,FW,2/21/91,95,83,88,48
Algeria,Ismael Bennacer,MF,12/1/97,50,82,74,78
Algeria,Ramy Bensebaini,DF,4/16/95,65,80,58,82
Algeria,Amine Gouiri,FW,2/16/00,20,80,84,50
Cabo Verde,Ryan Mendes,FW,1/8/90,75,70,76,48
Cabo Verde,Bebe,FW,7/12/90,25,72,78,46
Cabo Verde,Logan Costa,DF,4/1/01,20,78,42,80
Cabo Verde,Patrick Andrade,MF,2/9/93,25,70,64,72
Cote d'Ivoire,Sebastien Haller,FW,6/22/94,28,82,86,48
Cote d'Ivoire,Franck Kessie,MF,12/19/96,80,84,78,84
Cote d'Ivoire,Simon Adingra,FW,1/1/02,20,82,84,55
Cote d'Ivoire,Evan Ndicka,DF,8/20/99,18,84,42,85
DR Congo,Yoane Wissa,FW,9/3/96,30,80,84,52
DR Congo,Cedric Bakambu,FW,4/11/91,55,76,82,45
DR Congo,Chancel Mbemba,DF,8/8/94,75,80,45,84
DR Congo,Axel Tuanzebe,DF,11/14/97,8,76,38,80
Egypt,Mohamed Salah,FW,6/15/92,100,91,94,50
Egypt,Omar Marmoush,FW,2/7/99,35,86,88,52
Egypt,Trezeguet,FW,10/1/94,75,76,80,50
Egypt,Mohamed Elneny,MF,7/11/92,100,74,60,76
Ghana,Mohammed Kudus,MF,8/2/00,38,84,86,64
Ghana,Thomas Partey,MF,6/13/93,50,84,72,84
Ghana,Inaki Williams,FW,6/15/94,20,82,84,50
Ghana,Alexander Djiku,DF,8/9/94,32,78,42,80
Senegal,Sadio Mane,FW,4/10/92,105,84,88,52
Senegal,Nicolas Jackson,FW,6/20/01,20,84,86,54
Senegal,Kalidou Koulibaly,DF,6/20/91,85,82,42,88
Senegal,Idrissa Gueye,MF,9/26/89,110,78,60,82
South Africa,Percy Tau,FW,5/13/94,50,74,80,50
South Africa,Teboho Mokoena,MF,1/24/97,40,72,70,76
South Africa,Ronwen Williams,GK,1/21/92,45,72,10,80
South Africa,Mothobi Mvala,DF,6/14/94,30,70,38,76
Curacao,Leandro Bacuna,MF,8/21/91,45,72,72,70
Curacao,Juninho Bacuna,MF,8/7/97,30,73,72,72
Curacao,Cuco Martina,DF,9/25/89,60,70,40,76
Curacao,Eloy Room,GK,2/6/89,55,70,10,78
Haiti,Duckens Nazon,FW,4/7/94,65,72,80,45
Haiti,Frantzdy Pierrot,FW,3/29/95,35,73,79,48
Haiti,Jean-Ricner Bellegarde,MF,6/27/98,18,80,76,72
Haiti,Ricardo Ade,DF,5/21/90,30,68,36,74
Panama,Anibal Godoy,MF,2/10/90,120,66,58,74
Panama,Michael Murillo,DF,2/11/96,75,76,58,80
Panama,Jose Fajardo,FW,8/18/93,45,70,76,45
Panama,Adalberto Carrasquilla,MF,11/28/98,65,74,74,74
New Zealand,Chris Wood,FW,12/7/91,80,80,84,50
New Zealand,Liberato Cacace,DF,9/27/00,35,76,62,78
New Zealand,Marko Stamenic,MF,2/19/02,25,76,68,76
New Zealand,Winston Reid,DF,7/3/88,35,70,35,78
